13480,13420
13480,15337
13481,15169
13481,15182
13481,15184
13481,15186
13481,15189
15001,15114
15001,15115
15001,15116
15005,6636
15006,6636
15007,6636
15007,15006
15008,6636
15008,15006
15036,15117
15037,15117
15038,15117
15039,15117
15040,15117
15041,15117
15042,15117
15043,15117
15044,15117
15045,15117
15046,15117
15047,15117
15048,15117
15049,15117
15050,15117
15051,15117
15052,15117
15053,15117
15054,15117
15055,15117
15056,15117
15057,15117
15058,15117
15059,15117
15060,15117
15061,15117
15062,15117
15063,15117
15064,15117
15065,15117
15066,15117
15068,15117
15070,15117
15071,15117
15072,15117
15073,15117
15074,15117
15075,15117
15076,15117
15077,15117
15078,15117
15079,15117
15080,15117
15081,15117
15082,15117
15083,15117
15084,15117
15085,15117
15086,15117
15087,15117
15088,15117
15089,15117
15090,15117
15091,15117
15092,15117
15093,15117
15094,15117
15095,15117
15102,15113
15114,15001
15115,15001
15116,15001
15118,15117
15119,15117
15120,15117
15121,15117
15122,15117
15123,15117
15124,15117
15125,15117
15126,15117
15127,15117
15128,15117
15129,15117
15130,15117
15131,15117
15132,15117
15133,15117
15134,15117
15135,15117
15136,15117
15137,15117
15138,15117
15139,15117
15140,15117
15141,15117
15142,15117
15144,15117
15145,15117
15146,15182
15146,15184
15146,15188
15343,15344
15346,12804
15347,12804
15348,12804
15349,12804
15350,12804
15351,12804
15352,12804
15353,12804
15354,12804
15355,12804
15356,12804
15357,12804
15358,12804
15359,12804
15360,12804
15361,12804
15362,12804
15363,12804
15364,12804
15365,12804
15366,12804
15367,12804
15368,12804
15369,12804
15370,12804
15371,12804
15372,12804
15373,12804
15374,12804
15375,12804
15376,12804
15377,12804
15378,12804
15379,12804
15380,12804
15381,12804
15382,12804
15383,12804
15384,12804
15385,12804
15386,12804
15388,12804
15389,12804
15390,12804
15391,12804
15392,12804
15393,12804
15394,12804
15395,12804
15396,12804
15397,12804
15398,12804
15399,12804
15400,12804
15401,12804
15402,12804
15403,12804
15404,12804
15405,12804
15406,12804
15407,12804
15408,12804
15411,12804
15421,12804
15422,12804
15423,12804
15424,12804
15425,12804
15426,12804
15431,13109
15432,13109
15433,13109
15434,13109
15435,13109
15436,12927
15437,12927
15438,12927
15439,12927
15440,12927
15441,12927
15442,12927
15443,12927
15444,12927
15445,12927
15449,12927
15450,12927
15451,12927
15452,12927
15453,12927
15454,12927
15455,12927
15456,12927
15457,12927
15458,12927
15459,12927
15460,12927
15461,12927
15462,12927
15463,12927
15464,12927
15465,12927
15466,12927
15467,12927
15468,12927
15469,12927
15470,12927
15471,12927
15472,12927
15473,12927
15474,12927
15475,12927
15476,12927
15477,12927
15478,12927
15481,12927
15482,12927
15496,15495
15497,15495
15522,13419
15522,13420
15523,13419
15523,13420
15525,13365
15525,13405
15525,13421
15525,13465
15525,13466
15525,15014
15528,15529
15598,15750
15599,15679
15599,15680
15599,15681
15599,15682
15599,15683
15599,15684
15599,16105
15599,16106
15599,16107
15599,16108
15599,16109
